concept_id,rus,ukr
482,maˑlɪnʲkij,mɑlɪj
482,maˑlɪnʲkij,mɑlɛnʲkɪj
483,dliˑnnɨj,dɔwɦɪj
484,kɐrɔˑtkij,kɔrɔtkɪj
485,ʃɨrɔˑkij,ʂɪrɔkɪj
486,uˑzkij,wuzʲkɪj
487,ɡustɔˑj,ɦustɪj
488,tɔˑɫstɨj,tɔwstɪj
489,tɔˑnkij,tɔnkɪj
490,tɔˑnkij,drʲibnɪj
491,krʲeˑpkij,mit͡snɪj
492,pɫɔˑskij,plɔskɪj
493,ɡɫaˑdkij,rʲiwnɪj
493,ɡɫaˑdkij,ɦlɑdɛnʲkɪj
494,tvʲordɨj,twɛrdɪj
495,mʲaˑɡkij,mjɑkɪj
496,kruˑɡɫɨj,kruɦlɪj
497,ɐstrəkɐnʲeˑt͡ʃnɨj,ɦɔstrɔkint͡sɛwɪj
498,ɔˑstrɨj,ɦɔstrɪj
499,tupɔˑj,tupɪj
500,tʲɪ|ʒoɫɨj,wɑʐkɪj
501,krɐsʲiˑvɨj,wrɔdlɪwɪj
502,ʒaˑrkij,ʐɑrkɪj
502,ʒaˑrkij,ɦɑrʲɑʈ͡ʂɪj
503,tʲopɫɨj,tɛplɪj
504,xɐɫɔˑdnɨj,xɔlɔdnɪj
505,prɐxɫaˑdnɨj,prɔxɔlɔdnɪj
506,svʲeˑʒɨj,sviʐɪj
507,vɫaˑʒnɨj,wɔɦkɪj
508,mɔˑkrɨj,mɔkrɪj
509,suxɔˑj,suxɪj
510,pɔˑɫnɨj,pɔwnɪj
510,nɐpɔˑɫnʲɪnnɨj,pɔwnɪj
511,pustɔˑj,pustɪj
512,ɐtkrɨˑtɨj,vidkrɪtɪj
513,zɐkrɨˑtɨj,zɑkrɪtɪj
513,zɐkrɨˑtɨj,zɑʈ͡ʂɪnɛnɪj
514,t͡ʃʲiˑstɨj,ʈ͡ʂɪstɪj
514,t͡ʃʲiˑstɨj,ɔxɑjnɪj
515,ɡrʲaˑznɨj,brudnɪj
516,sɨrɔˑj,sɪrɪj
517,zrʲeˑɫɨj,zrʲilɪj
518,vkuˑsnɨj,smɑʈ͡ʂnɪj
519,sɫaˑdkij,sɔlɔdkɪj
520,ɡɔˑrʲkij,ɦjirkɪj
521,kiˑsɫɨj,kɪslɪj
522,svʲeˑtɫɨj,svitlɪj
523,tʲomnɨj,tɛmnɪj
524,t͡ʃʲornɨj,ʈ͡ʂɔrnɪj
525,bʲeˑɫɨj,sɪwɪj
526,kraˑsnɨj,ʈ͡ʂɛrwɔnɪj
527,ʒoɫtɨj,ʐɔwtɪj
528,sʲiˑnʲij,sɪnʲij
529,zʲɪlonɨj,zɛlɛnɪj
530,sʲeˑrɨj,sʲirɪj
531,pʲostrɨj,bɑrwɪstɪj
532,dʲɪʃovɨj,dɛʂɛwɪj
533,dərɐɡɔˑj,dɔrɔɦɪj
534,t͡sɛˑnnɨj,t͡sʲinːɪj
535,slɪpɔˑj,slʲipɪj
536,ɡɫuxɔˑj,ɦluxɪj
537,mɐɡuˑt͡ʃʲij,mɔɦutnʲij
538,sʲiˑlnɨj,sɪlʲnɪj
539,sɫaˑbɨj,slɑbkɪj
540,ʒɨˑrnɨj,ʐɪrnɪj
540,ʒɨˑrnɨj,tɔwstɪj
541,strɔˑjnɨj,tɔnkɪj
