concept_id,deu,swe
238,lɛɐ̯m,uːvɛsən
239,laʊ̯t,jʉːd
240,toːn,tuːn
241,liːt,sɔŋː
242,ʁuːə,ruː
242,ʁuːə,lɵŋːn
243,lɔʏ̯tə,fɔlːk
244,fɔlk,fɔlːk
245,aɐ̯baɪ̯t,arːbɛtə
246,ɡast,jɛsːt
247,ɡɛʃɛŋk,ɡoːva
247,ɡɛʃɛŋk,preːsɛnt
248,ʃpiːl,leːk
248,ʃpiːl,speːl
249,ɡəzɛlʃaft,sɛlːskap
250,hɪlfə,jɛlːp
251,fʁɔʏ̯nt,vɛnː
252,kaːmeːʁaːt,kamːrat
253,aŋeːleːɡɛnhaɪ̯t,æːrɛndə
253,aŋeːleːɡɛnhaɪ̯t,aŋːɛlɛjɛnhət
254,ant͡saːl,anːtal
255,aɐ̯t,ɑːʈ
255,aɐ̯t,slɑːɡ
256,ʃtʏk,stʏkːə
257,taɪ̯l,deːl
258,hɛlftə,halːva
259,kʁaɪ̯s,krɛtːs
259,kʁaɪ̯s,sɪrːkəl
260,kʁɔʏ̯t͡s,kɔrːs
260,kʁɔʏ̯t͡s,krʏsː
261,liːniː,lɪnːjə
262,ʃtʁɪç,strɛkː
263,abstant,avːstɔnd
264,ɛntfɛɐ̯nʊŋ,avːstɔnd
265,ɡeːɡənt,trakːt
266,plat͡s,platːs
267,ɔɐ̯t,platːs
267,ɔɐ̯t,stɛlːə
268,zaɪ̯tə,siːda
269,mɪtə,mɪtː
270,ɡəɡɛnstant,fœːrɛmɔl
271,zaχə,sɑːk
272,ʁant,ranːd
273,kantə,kanːt
274,ɛkə,vroː
274,ɛkə,hœːɳ
275,ʃpɪt͡sə,spɛtːs
276,ɛndə,ɛnːda
277,lɔχ,hoːl
278,vɪŋkəl,vɪnːkəl
279,mʊstɐ,mønːstər
280,ɡʁøːsə,stuːɭɛk
281,lɛŋə,lɛŋːd
282,høːhə,højːd
283,ɡəvɪçt,tʏŋːd
284,mɛŋə,mɛŋːd
285,haʊ̯fən,høːɡ
286,ʁaɪ̯hə,rɑːd
287,boːt,boːt
288,ʁuːdɐ,oːra
289,ʃlɪtən,slɛːdə
290,skiː,ɧiːda
291,laːɡɛɐ̯fɔʏ̯ɐ,lɛːjɛrɛld
292,last,lasːt
292,last,bœːɖa
293,ɡaŋ,ɡɔŋː
294,ʃʁɪt,steːɡ
295,nɔɐ̯dən,nɔrː
296,zyːdən,søːdər
297,vɛstən,vɛsːtər
298,ɔstən,øsːtər
299,hɔlt͡s,trɛː
300,bʁɛt,brɛːda
301,platə,platːa
302,ʃtʏt͡sə,støːd
302,ʃtʏt͡sə,støtːa
303,ʃtaŋə,stɔŋː
304,ʃtɔk,ɕɛpː
304,ʃtɔk,pɪnːə
305,ʃtaːp,stɑːv
306,ʁoːɐ̯,rœːr
307,haʊ̯s,hʉːs
308,haɪ̯m,hɛmː
309,oːfən,ɵŋːn
310,fuːsboːdən,ɡɔlːv
311,tɪʃ,buːɖ
312,ʃtuːl,stuːl
313,viːɡə,vaɡːa
314,bɛt,sɛŋː
315,ʁeːɡaːl,hʏlːa
316,kɪstə,loːda
317,fɛnstɐ,fønːstər
318,tyːɐ̯,dœrː
319,toːɐ̯,puːʈ
320,t͡saʊ̯n,stɑːkət
320,t͡saʊ̯n,stɛŋːsəl
321,daχ,tɑːk
322,laɪ̯tɐ,steːɡə
323,beːzən,kvasːt
324,ʃpaːtən,spɑːdə
325,ʃaʊ̯fəl,skuːvəl
325,ʃaʊ̯fəl,ɧʏffːəl
326,ɡaːbəl,ɡaffːəl
327,lœfəl,ɧeːd
328,mɛsɐ,kniːv
329,naːɡəl,spiːk
330,nɛt͡s,nɛːt
331,haːkən,kruːk
332,ɡʁɪf,tɑːɡ
332,ɡʁɪf,hanːdtaɡ
333,ʃlɔs,lɑːs
334,bɪlt,bɪlːd
335,fiːɡuːɐ̯,fiːɡɵr
336,pʊpə,dɔkːa
337,bɔʏ̯təl,poːsə
338,bʏndəl,bɵnːt
338,bʏndəl,knɪpːa
339,taʃə,vɛsːka
340,aɪ̯mɐ,hɪnːk
340,aɪ̯mɐ,ɛmːbar
341,dɛkəl,lɔkː
342,ɡɛʃɪʁ,sɛrːvɪs
342,ɡɛʃɪʁ,pɔrːslɪn
343,zak,sɛkː
344,tasə,kɔpː
345,tɔp͡f,ɡryːta
345,tɔp͡f,kasːtrɵl
346,kɛsəl,ɕɪtːəl
347,ɛsən,moːl
348,naːʁʊŋ,næːrɪŋ
349,ʃpaɪ̯zə,mɑːtrɛt
350,flaɪ̯ʃ,ɕøtː
351,ɡətʁaɪ̯də,sɛːd
351,ɡətʁaɪ̯də,spanːmɔl
352,bʁaɪ̯,ɡrøːt
353,bʁoːt,brøːd
354,ʃaɪ̯bə,ɧiːva
355,fɛt,fɛtː
356,bʊtɐ,smœːr
357,øːl,ɔlːja
358,zalt͡s,salːt
359,zʊpə,sɔpːa
360,hoːnɪç,huːnɵŋ
361,mɪlç,mjølːk
362,teː,teː
363,leːdɐ,lɛːdər
364,vɔlə,ɵlː
364,vɔlə,ʏlːə
365,ʃtɔf,tyːɡ
365,ʃtɔf,stɔffː
366,naːdəl,noːl
367,faːdən,troːd
368,knɔp͡f,knapː
369,knoːtən,knʉːt
370,faɐ̯bə,færːɡ
371,klaɪ̯dʊŋ,klɛdːsəl
372,hɛmt,ɧuːʈa
373,kʁaːɡən,krɑːɡə
374,ɛɐ̯məl,ærːm
375,hoːzə,bʏksːɔr
376,ɡʏɐ̯təl,bɛlːtə
377,mʏt͡sə,møsːa
378,ʃuː,skuː
379,ʃtiːfəl,støːvəl
380,ʁɪŋ,rɪŋː
