lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
ukr,418,хазяїн,xɑzʲɑjin,validate
ukr,419,умілець,umilɛt͡sʲ,review
ukr,420,лікар,lʲikɑr,validate
ukr,421,вчитель,wʈ͡ʂɪtɛlʲ,validate
ukr,422,гроші,ɦrɔʂji,validate
ukr,423,заняття,zɑnʲɑtʲːɑ,review
ukr,424,магазин,mɑɦɑzɪn,validate
ukr,424,крамниця,krɑmnɪt͡sʲɑ,validate
ukr,425,ціна,t͡sʲinɑ,validate
ukr,426,товар,tɔwɑr,validate
ukr,427,вигода,wɪɦɔdɑ,validate
ukr,427,користь,kɔrɪstʲ,validate
ukr,428,багатство,bɑɦɑtstwɔ,validate
ukr,429,світ,svit,validate
ukr,430,країна,krɑjinɑ,validate
ukr,431,держава,dɛrʐɑwɑ,validate
ukr,432,король,kɔrɔlʲ,validate
ukr,433,влада,wlɑdɑ,validate
ukr,434,кордон,kɔrdɔn,validate
ukr,435,війна,vijnɑ,validate
ukr,436,ворог,wɔrɔɦ,validate
ukr,437,насильство,nɑsɪlʲstwɔ,validate
ukr,438,бій,bij,validate
ukr,438,боротьба,bɔrɔdʲbɑ,validate
ukr,439,лук,luk,validate
ukr,440,стріла,strʲilɑ,validate
ukr,441,рушниця,ruʂnɪt͡sʲɑ,validate
ukr,441,гвинтівка,ɦwɪntʲiwkɑ,validate
ukr,442,помилка,pɔmɪlkɑ,validate
ukr,443,брехня,brɛxnʲɑ,validate
ukr,444,шкода,ʂkɔdɑ,validate
ukr,444,збиток,zbɪtɔk,validate
ukr,445,нещастя,nɛʂʈ͡ʂɑstʲɑ,validate
ukr,446,провина,prɔwɪnɑ,validate
ukr,447,вік,vik,validate
ukr,447,літа,lʲitɑ,validate
ukr,448,кінець,kinɛt͡sʲ,validate
ukr,449,час,ʈ͡ʂɑs,validate
ukr,450,день,dɛnʲ,validate
ukr,451,ранок,rɑnɔk,validate
ukr,452,південь,pʲiwdɛnʲ,validate
ukr,453,вечір,wɛʈ͡ʂjir,validate
ukr,454,ніч,nʲiʈ͡ʂ,validate
ukr,455,тиждень,tɪʐdɛnʲ,validate
ukr,456,місяць,misʲɑt͡sʲ,validate
ukr,457,рік,rʲik,validate
ukr,458,весна,wɛsnɑ,validate
