lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
swe,320,stängsel,stɛŋːsəl,validate
swe,321,tak,tɑːk,validate
swe,322,stege,steːɡə,validate
swe,323,kvast,kvasːt,validate
swe,324,spade,spɑːdə,validate
swe,325,skovel,skuːvəl,validate
swe,325,skyffel,ɧʏffːəl,validate
swe,326,gaffel,ɡaffːəl,validate
swe,327,sked,ɧeːd,validate
swe,328,kniv,kniːv,validate
swe,329,spik,spiːk,validate
swe,330,nät,nɛːt,validate
swe,331,krok,kruːk,validate
swe,332,tag,tɑːɡ,validate
swe,332,handtag,hanːdtaɡ,validate
swe,333,las,lɑːs,validate
swe,334,bild,bɪlːd,validate
swe,335,figur,fiːɡɵr,validate
swe,336,docka,dɔkːa,validate
swe,337,påse,poːsə,validate
swe,338,bunt,bɵnːt,validate
swe,338,knippa,knɪpːa,validate
swe,339,väska,vɛsːka,validate
swe,340,hink,hɪnːk,validate
swe,340,ämbar,ɛmːbar,validate
swe,341,lock,lɔkː,validate
swe,342,servis,sɛrːvɪs,validate
swe,342,porslin,pɔrːslɪn,validate
swe,343,säck,sɛkː,validate
swe,344,kopp,kɔpː,validate
swe,345,gryta,ɡryːta,validate
swe,345,kastrull,kasːtrɵl,validate
swe,346,kittel,ɕɪtːəl,validate
swe,347,mål,moːl,validate
swe,348,näring,næːrɪŋ,validate
swe,349,maträtt,mɑːtrɛt,validate
swe,350,kött,ɕøtː,validate
swe,351,säd,sɛːd,validate
swe,351,spannmål,spanːmɔl,validate
swe,352,gröt,ɡrøːt,validate
swe,353,bröd,brøːd,validate
swe,354,skiva,ɧiːva,validate
swe,355,fett,fɛtː,validate
swe,356,smör,smœːr,validate
swe,357,olja,ɔlːja,validate
swe,358,salt,salːt,validate
swe,359,soppa,sɔpːa,validate
swe,360,honung,huːnɵŋ,validate
swe,361,mjölk,mjølːk,validate
swe,362,te,teː,validate
swe,363,läder,lɛːdər,validate
swe,364,ull,ɵlː,validate
swe,364,ylle,ʏlːə,validate
swe,365,tyg,tyːɡ,validate
swe,365,stoff,stɔffː,validate
swe,366,nål,noːl,validate
swe,367,tråd,troːd,validate
swe,368,knapp,knapː,validate
swe,369,knut,knʉːt,validate
swe,370,färg,færːɡ,validate
swe,371,klädsel,klɛdːsəl,validate
swe,372,skjorta,ɧuːʈa,validate
swe,373,krage,krɑːɡə,validate
swe,374,ärm,ærːm,validate
swe,375,byxor,bʏksːɔr,validate
swe,376,bälte,bɛlːtə,validate
swe,377,mössa,møsːa,validate
swe,378,sko,skuː,validate
swe,379,stövel,støːvəl,validate
swe,380,ring,rɪŋː,validate
swe,381,band,banːd,validate
swe,382,kam,kamː,validate
swe,383,spegel,speːɡəl,validate
swe,384,rem,rɛmː,validate
swe,385,snöre,snœːrə,validate
swe,386,lina,liːna,validate
swe,387,täcke,tɛkːə,validate
swe,388,dyna,dyːna,validate
swe,388,kudde,kɵdːə,validate
swe,389,sjal,ɧɑːl,validate
swe,390,handduk,hanːdɵk,validate
swe,391,kraft,krafːt,validate
swe,392,styrka,stʏrːka,validate
swe,393,hälsa,hɛlːsa,validate
swe,394,sjukdom,ɧɵkːdɔm,validate
swe,395,smärta,smæːʈa,validate
swe,396,sår,soːr,validate
swe,397,feber,feːbər,validate
swe,398,medicin,meːdɪsɪn,validate
swe,398,läkemedel,lɛːɕɛmɛdəl,validate
swe,399,bro,bruː,validate
swe,400,brunn,brɵnː,validate
swe,401,bete,beːtə,validate
swe,402,stig,stiːɡ,validate
swe,403,väg,vɛːɡ,validate
swe,404,gata,ɡɑːta,validate
swe,405,by,byː,validate
swe,406,stad,stɑːd,validate
swe,407,brev,breːv,validate
swe,408,bok,buːk,validate
swe,409,bokstav,bɔkːstav,validate
swe,410,tidning,tiːdnɪŋ,validate
swe,411,liv,liːv,validate
swe,412,död,døːd,validate
swe,413,grav,ɡrɑːv,validate
swe,414,kyrka,ɕʏrːka,validate
swe,415,synd,sʏnːd,validate
swe,416,gud,ɡʉːd,validate
swe,417,arbetare,arːbɛtarə,validate
swe,418,chef,ɧeːf,validate
swe,419,mästare,mɛsːtarə,validate
swe,420,läkare,lɛːkarə,validate
swe,421,lärare,læːrarə,validate
